LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FIN,STINT,TOT,PC_PA,M,2001-03,4.7086,
FIN,STINT,TOT,PC_PA,M,2001-04,4.6819999999999995,
FIN,STINT,TOT,PC_PA,M,2001-05,4.6367,
FIN,STINT,TOT,PC_PA,M,2001-06,4.4536,
FIN,STINT,TOT,PC_PA,M,2001-07,4.4671,
FIN,STINT,TOT,PC_PA,M,2001-08,4.3535,
FIN,STINT,TOT,PC_PA,M,2001-09,3.9829,
FIN,STINT,TOT,PC_PA,M,2001-10,3.5999,
FIN,STINT,TOT,PC_PA,M,2001-11,3.3857,
FIN,STINT,TOT,PC_PA,M,2001-12,3.3449,
FIN,STINT,TOT,PC_PA,M,2002-01,3.3388,
FIN,STINT,TOT,PC_PA,M,2002-02,3.3571,
FIN,STINT,TOT,PC_PA,M,2002-03,3.3908,
FIN,STINT,TOT,PC_PA,M,2002-04,3.4069,
FIN,STINT,TOT,PC_PA,M,2002-05,3.4671,
FIN,STINT,TOT,PC_PA,M,2002-06,3.464,
FIN,STINT,TOT,PC_PA,M,2002-07,3.41,
FIN,STINT,TOT,PC_PA,M,2002-08,3.3519,
FIN,STINT,TOT,PC_PA,M,2002-09,3.3101,
FIN,STINT,TOT,PC_PA,M,2002-10,3.2613,
FIN,STINT,TOT,PC_PA,M,2002-11,3.1241,
FIN,STINT,TOT,PC_PA,M,2002-12,2.9410000000000003,
FIN,STINT,TOT,PC_PA,M,2003-01,2.8318,
FIN,STINT,TOT,PC_PA,M,2003-02,2.6875,
FIN,STINT,TOT,PC_PA,M,2003-03,2.53,
FIN,STINT,TOT,PC_PA,M,2003-04,2.5333,
FIN,STINT,TOT,PC_PA,M,2003-05,2.4005,
FIN,STINT,TOT,PC_PA,M,2003-06,2.1519,
FIN,STINT,TOT,PC_PA,M,2003-07,2.13,
FIN,STINT,TOT,PC_PA,M,2003-08,2.1404,
FIN,STINT,TOT,PC_PA,M,2003-09,2.1473,
FIN,STINT,TOT,PC_PA,M,2003-10,2.1436,
FIN,STINT,TOT,PC_PA,M,2003-11,2.1590000000000003,
FIN,STINT,TOT,PC_PA,M,2003-12,2.1463,
FIN,STINT,TOT,PC_PA,M,2004-01,2.0895,
FIN,STINT,TOT,PC_PA,M,2004-02,2.0705,
FIN,STINT,TOT,PC_PA,M,2004-03,2.0288,
FIN,STINT,TOT,PC_PA,M,2004-04,2.0488,
FIN,STINT,TOT,PC_PA,M,2004-05,2.0859,
FIN,STINT,TOT,PC_PA,M,2004-06,2.1127,
FIN,STINT,TOT,PC_PA,M,2004-07,2.116,
FIN,STINT,TOT,PC_PA,M,2004-08,2.1143,
FIN,STINT,TOT,PC_PA,M,2004-09,2.1186,
FIN,STINT,TOT,PC_PA,M,2004-10,2.1473,
FIN,STINT,TOT,PC_PA,M,2004-11,2.1703,
FIN,STINT,TOT,PC_PA,M,2004-12,2.1732,
FIN,STINT,TOT,PC_PA,M,2005-01,2.1454,
FIN,STINT,TOT,PC_PA,M,2005-02,2.1383,
FIN,STINT,TOT,PC_PA,M,2005-03,2.1372,
FIN,STINT,TOT,PC_PA,M,2005-04,2.1372,
FIN,STINT,TOT,PC_PA,M,2005-05,2.1256,
FIN,STINT,TOT,PC_PA,M,2005-06,2.1109999999999998,
FIN,STINT,TOT,PC_PA,M,2005-07,2.1194,
FIN,STINT,TOT,PC_PA,M,2005-08,2.1325,
FIN,STINT,TOT,PC_PA,M,2005-09,2.1391,
FIN,STINT,TOT,PC_PA,M,2005-10,2.1966,
FIN,STINT,TOT,PC_PA,M,2005-11,2.3609,
FIN,STINT,TOT,PC_PA,M,2005-12,2.4729,
FIN,STINT,TOT,PC_PA,M,2006-01,2.5117,
FIN,STINT,TOT,PC_PA,M,2006-02,2.6004,
FIN,STINT,TOT,PC_PA,M,2006-03,2.7226,
FIN,STINT,TOT,PC_PA,M,2006-04,2.7938,
FIN,STINT,TOT,PC_PA,M,2006-05,2.889,
FIN,STINT,TOT,PC_PA,M,2006-06,2.9857,
FIN,STINT,TOT,PC_PA,M,2006-07,3.1022,
FIN,STINT,TOT,PC_PA,M,2006-08,3.2265,
FIN,STINT,TOT,PC_PA,M,2006-09,3.3354,
FIN,STINT,TOT,PC_PA,M,2006-10,3.502,
FIN,STINT,TOT,PC_PA,M,2006-11,3.5972,
FIN,STINT,TOT,PC_PA,M,2006-12,3.6842,
FIN,STINT,TOT,PC_PA,M,2007-01,3.7519,
FIN,STINT,TOT,PC_PA,M,2007-02,3.8182,
FIN,STINT,TOT,PC_PA,M,2007-03,3.8909,
FIN,STINT,TOT,PC_PA,M,2007-04,3.9753,
FIN,STINT,TOT,PC_PA,M,2007-05,4.0714,
FIN,STINT,TOT,PC_PA,M,2007-06,4.1478,
FIN,STINT,TOT,PC_PA,M,2007-07,4.2162,
